Location,price_php_millions,Bedrooms,Bathrooms,Floor Area,Land Area,Town/Barangay,Municipality/City,Province/NCR
"B.F. Homes, Paranaque",32.5,4.0,4.0,268.0,287.0,B. F. Homes,Parañaque,Metro Manila
"Philippines, Talisay, Cansojong, SRP Cansojong, Talisay",6.0,3.0,3.0,120.0,64.0,Cansojong,Talisay,Cebu
"Lagao, General Santos City",8.0,5.0,3.0,142.0,121.0,Lagao (1st & 3rd),General Santos City (Dadiangas),South Cotabato
"Diliman, Quezon City",12.23,3.0,3.0,182.93,62.8,Diliman,Quezon City,Metro Manila
"B.F. Homes (Paranaque) B.F. Homes, Paranaque",18.5,3.0,3.0,300.0,204.0,B. F. Homes,Parañaque City,Metro Manila
"B.F. Homes, Paranaque",28.9,4.0,4.0,270.0,204.0,B. F. Homes,Parañaque,Metro Manila
"Muntinlupa, Metro Manila, Philippines Muntinlupa",8.0,3.0,2.0,83.0,120.0,,Muntinlupa,Metro Manila
"Ampid I, San Mateo",9.8,4.0,3.0,155.0,104.0,Ampid I,San Mateo,Rizal
"Bagong Silangan, Quezon City",20.0,5.0,5.0,300.0,240.0,Bagong Silangan,Quezon City,Metro Manila
"Ayala Alabang, Muntinlupa",110.0,4.0,5.0,400.0,300.0,New Alabang Village,Muntinlupa,Metro Manila
"Buck Estate, Alfonso",25.0,4.0,3.0,450.0,392.0,Buck Estate,Alfonso,Cavite
"Telabastagan, San Fernando",45.0,5.0,6.0,432.0,1565.0,Telabastagan,San Fernando,Pampanga
"Matandang Balara, Quezon City",105.0,5.0,5.0,650.0,330.0,Matandang Balara,Quezon City,Metro Manila
"B.F. Homes, Paranaque",36.0,5.0,6.0,325.0,280.0,B. F. Homes,Parañaque,Metro Manila
"Tagapo, Santa Rosa",2.09,2.0,1.0,42.0,50.0,Tagapo,City of Santa Rosa,Laguna
"Ordonez St. Corner Champaca St. Marikina Heights, Marikina",6.9,3.0,2.0,88.9,53.0,Marikina Heights (Concepcion),Marikina,Metro Manila
"Bangkas Heights, Davao",17.0,2.0,2.0,250.0,338.0,Toril,Davao City,Davao del Sur
"Ususan, Taguig",112.0,5.0,6.0,182.0,232.0,Ususan,Taguig,Metro Manila
"Kathrynville, Cutcut, Capas,Tarlac Cutcut 1st, Capas",1.76,,1.0,35.0,96.0,Cutcut,Capas,Tarlac
"Atlu-Bola, Mabalacat",10.7,4.0,2.0,150.0,120.0,Atlu-Bola,Mabalacat City,Pampanga
"Barangay II, Alaminos",1.14,3.0,1.0,46.6,40.0,Barangay II,Alaminos,Laguna
"San Vicente, San Pedro",5.5,3.0,2.0,76.0,70.0,San Vicente,San Pedro,Laguna
"Aniban I, Bacoor",16.0,5.0,6.0,411.0,360.0,Aniban I,Bacoor,Cavite
"Loma de Gato, Marilao",7.52,3.0,2.0,90.0,112.0,Loma de Gato,Marilao,Bulacan
"Bagumbayan, Quezon City",25.0,3.0,4.0,198.0,,Bagumbayan,Quezon City,Metro Manila
"Magenta St., Saphhire Hills, Victoria Homes, Muntinlupa City Tunasan, Muntinlupa",2.7,2.0,1.0,37.0,79.0,Tunasan,Muntinlupa City,Metro Manila
"Ayala Alabang Muntinlupa Metro Manila Ayala Alabang, Muntinlupa",540.0,6.0,7.0,1442.0,987.0,New Alabang Village,Muntinlupa,Metro Manila
"Lot 16 Block 13, Amazon Street, Lakewood City Subdivision Sumacab Este, Cabanatuan",3.16,1.0,1.0,191.0,204.0,Sumacab Este,Cabanatuan City,Nueva Ecija
"Dasmarinas, Makati",125.0,5.0,4.0,400.0,614.0,Dasmariñas,Makati City,Metro Manila
"White Plains, Quezon City",208.0,7.0,6.0,900.0,464.0,White Plains,Quezon City,Metro Manila
"Cabuco, Trece Martires",5.74,3.0,2.0,75.0,120.0,Cabuco,Trece Martires City,Cavite
"Moonwalk, Paranaque",21.4,5.0,3.0,300.0,400.0,Moonwalk,Parañaque,Metro Manila
"Cansojong, Talisay",36.0,5.0,4.0,309.0,2080.0,Cansojong,Talisay,Cebu
"Concepcion Dos, Marikina",8.5,2.0,1.0,63.0,288.0,Concepcion Dos,Marikina,Metro Manila
"San Luis, Antipolo",6.45,3.0,2.0,76.0,90.0,San Luis,Antipolo,Rizal
"San Juan, Taytay",45.0,6.0,7.0,700.0,561.0,San Juan,Taytay,Rizal
"Don Mariano Ave San Isidro, Angono",5.18,3.0,2.0,73.1,41.0,San Isidro,Angono,Rizal
"San Lucas, Lipa",4.17,2.0,1.0,54.0,113.0,San Lucas,Lipa City,Batangas
"Malabanias, Angeles",12.8,4.0,5.0,300.0,1098.0,Malabañas,Angeles,Pampanga
"Santa Ana, Taytay",42.5,5.0,5.5,460.0,300.0,Santa Ana,Taytay,Rizal
"1 Bagong Silangan, Quezon City",17.5,5.0,3.0,300.0,240.0,Bagong Silangan,Quezon City,Metro Manila
"Matandang Balara, Quezon City",92.0,5.0,5.0,421.0,400.0,Matandang Balara,Quezon City,Metro Manila
"Pasadena, San Juan",57.0,5.0,4.0,385.0,,Pasadeña,San Juan City,Metro Manila
Dumaguete,10.0,6.0,4.0,318.0,210.0,,Dumaguete City,Negros Oriental
"Dela Paz, Antipolo",14.0,4.0,3.0,240.0,173.0,Dela Paz,Antipolo,Rizal
"Tahanan Village B.F. Homes, Paranaque",30.0,4.0,4.0,300.0,280.0,B. F. Homes,Parañaque,Metro Manila
"Valencia Estates, Valencia, Bukidnon Lumbo, Vallencia",5.0,2.0,2.0,60.0,150.0,Lumbo,Valencia City,Bukidnon
"San Isidro, Cainta",19.5,3.0,3.0,188.0,172.0,San Isidro,Cainta,Rizal
"Rosario, Pasig",29.0,6.0,6.0,450.0,191.0,Rosario,Pasig,Metro Manila
"San Miguel Village, Makati",125.0,4.0,3.0,300.0,330.0,San Miguel Village,Makati City,Metro Manila
"Bonuan Boquig, Dagupan",5.04,3.0,2.0,80.0,190.0,Bonuan Boquig,Dagupan City,Pangasinan
"Ayala Alabang, Muntinlupa",125.0,4.0,5.0,400.0,300.0,New Alabang Village,Muntinlupa,Metro Manila
"Holy Spirit, Quezon City",45.0,5.0,5.0,350.0,464.0,Holy Spirit,Quezon City,Metro Manila
"B.F. Homes, Paranaque",49.0,5.0,5.0,450.0,510.0,B. F. Homes,Parañaque,Metro Manila
"Batasan Hills, Quezon City",15.0,5.0,4.0,303.0,90.0,Batasan Hills,Quezon City,Metro Manila
"West Triangle, Quezon City",25.0,3.0,3.0,270.0,101.0,West Triangle,Quezon City,Metro Manila
"Pulo, Cabuyao, Laguna, Philippines Pulo, Cabuyao",30.0,5.0,4.0,550.0,386.0,Pulo,Cabuyao City,Laguna
"Daang Hari, 1751 Las Pinas, Philippines Almanza Dos, Las Pinas",50.0,5.0,5.0,323.0,302.0,Almanza Dos,Las Piñas,Metro Manila
"Ayala Alabang Village Ayala Alabang, Muntinlupa",120.0,4.0,5.0,400.0,720.0,New Alabang Village,Muntinlupa,Metro Manila
"B.F. Homes, Paranaque",37.5,5.0,5.0,375.0,280.0,B. F. Homes,Parañaque,Metro Manila
"Urdaneta, Makati",800.0,5.0,5.0,700.0,1156.0,Urdaneta,Makati City,Metro Manila
"West Kamias, Quezon City",28.0,6.0,2.0,,300.0,West Kamias,Quezon City,Metro Manila
"Santo Nino, Marikina",18.0,3.0,3.0,260.0,144.0,Santo Niño,Marikina,Metro Manila
"Kapitolyo, Pasig",120.0,3.0,3.0,,444.0,Kapitolyo,Pasig,Metro Manila
Cebu,10.0,4.0,1.0,,184.0,,Cebu City,Cebu
"Pan-Philippine Hwy San Vicente, San Pablo",3.4,3.0,2.0,66.0,80.0,San Vicente,San Pablo City,Laguna
"Jaro, Iloilo",3.82,3.0,2.0,53.24,72.0,Jaro,Iloilo City,Iloilo
"Casile, Cabuyao",17.5,4.0,3.0,250.0,214.0,Casile,Cabuyao City,Laguna
"Canlucani, Dapitan City, Zamboanga Peninsula, Philippines Canlucani, Dapitan",,2.0,6.0,300.0,5300.0,Canlucani,Dapitan City,Zamboanga del Norte
"88 Brookside San Roque Talisay San Roque, Talisay",6.45,4.0,2.0,86.0,110.0,San Roque,Talisay,Cebu
"Buhangin, Davao",18.5,4.0,4.0,190.0,184.0,Buhangin,Davao City,Davao del Sur
"1 Tandang Sora, Quezon City",8.0,3.0,2.0,110.0,45.0,Tandang Sora,Quezon City,Metro Manila
"Tapia, General Trias",2.25,3.0,1.0,40.0,50.0,Tapia,General Trias,Cavite
"Sampaloc, Manila",27.0,6.0,6.0,,180.0,Sampaloc,Manila,Metro Manila
"Bago Oshiro, Davao",16.0,5.0,4.0,210.0,208.0,Bago Oshiro,Davao City,Davao del Sur
"Novaliches, Quezon City",45.0,5.0,5.0,400.0,300.0,Novaliches Proper,Quezon City,Metro Manila
"Salaban, Amadeo",12.0,6.0,5.0,110.0,240.0,Salaban,Amadeo,Cavite
"San Martin de Porres, Paranaque",4.77,,,136.31,,San Martin de Porres,Parañaque,Metro Manila
"Ayala Alabang, Muntinlupa",130.0,4.0,4.0,500.0,550.0,New Alabang Village,Muntinlupa,Metro Manila
"Priscilla Estates Cabantian, Davao",10.5,4.0,3.0,130.0,300.0,Buhangin,Davao City,Davao del Sur
"Sun Valley, Paranaque",38.0,3.0,3.0,417.0,472.0,Sun Valley,Parañaque,Metro Manila
"Ayala Alabang, Muntinlupa",420.0,7.0,7.0,1233.0,816.0,New Alabang Village,Muntinlupa,Metro Manila
"Cabilang Baybay, Carmona",23.61,3.0,2.0,243.0,240.0,Cabilang Baybay,Carmona,Cavite
"K-3rd Street Kamuning, Quezon City",16.5,4.0,4.0,240.0,60.0,Kamuning,Quezon City,Metro Manila
"West Crame, San Juan",28.0,8.0,4.0,420.0,315.0,West Crame,San Juan City,Metro Manila
"Batasan Hills, Quezon City",72.0,4.0,4.0,504.0,300.0,Batasan Hills,Quezon City,Metro Manila
"San Antonio, Paranaque",9.5,4.0,4.0,250.0,117.0,San Antonio,Parañaque City,Metro Manila
"Ayala Alabang, Muntinlupa",420.0,5.0,5.0,1172.0,762.0,New Alabang Village,Muntinlupa,Metro Manila
"San Isidro, Cainta",14.64,3.0,3.0,148.0,139.5,San Isidro,Cainta,Rizal
"Lot No. 1521-A-5-B, No.757 Fatima Street Bagbaguin, Santa Maria",4.28,1.0,1.0,156.0,250.0,Bagbaguin,Santa Maria,Bulacan
"Santo Nino, San Mateo",2.0,2.0,2.0,80.0,120.0,Santo Niño,San Mateo,Rizal
"Almanza Dos, Las Pinas",70.0,5.0,5.0,490.0,,Almanza Dos,Las Piñas,Metro Manila
"San Isidro, Antipolo",8.0,4.0,3.0,166.0,108.0,San Isidro,Antipolo,Rizal
"Santa Clara Sur, Pila",4.0,,,160.0,341.0,Santa Clara Sur,Pila,Laguna
"San Miguel, Pasig",29.0,5.0,4.0,334.0,235.0,San Miguel,Pasig,Metro Manila
"Maria Luisa Estate Park Cebu City Budla-An, Cebu",220.0,10.0,7.0,1522.0,735.0,Budla-an,Cebu City,Cebu
San Fernando,16.8,4.0,3.0,240.0,180.0,,San Fernando,Pampanga
"Dalig, Antipolo",11.16,3.0,3.0,90.0,150.0,Dalig,Antipolo,Rizal
"Camella Cabid-An, Sorsogon City, Sorsogon, Bicol, Philippines Cabid-An, Sorsogon",2.86,2.0,1.0,36.0,44.0,Cabid-An,Sorsogon City,Sorsogon
"Natipuan, Nasugbu",35.0,5.0,5.0,,1160.0,Natipuan,Nasugbu,Batangas
"Sucat, Muntinlupa",24.0,4.0,,250.0,300.0,Sucat,Muntinlupa City,Metro Manila
"B.F. Homes, Paranaque",34.8,5.0,5.0,360.0,280.0,B. F. Homes,Parañaque,Metro Manila
"Ayala Alabang, Muntinlupa",158.0,5.0,,,600.0,New Alabang Village,Muntinlupa,Metro Manila
"Piazetta Street, The Court Yard of Maia Alta, Dalig, Antipolo City Dalig, Antipolo",8.5,3.0,3.0,186.0,183.0,Dalig,Antipolo,Rizal
Davao,70.0,6.0,6.0,780.0,1500.0,,Davao City,Davao del Sur
"Agus, Lapu-Lapu",6.59,,,160.0,160.0,Agus,Lapu-Lapu,Cebu
"Bocohan, Lucena",1.38,,,43.0,65.0,Bocohan,Lucena City,Quezon
"Kalawaan, Binangonan",1.73,1.0,,80.0,66.0,Kalawaan,Binangonan,Rizal
"Pasay Rotonda, Pasay",13.5,4.0,4.0,216.0,72.0,Rotonda,Pasay City,Metro Manila
"Lot 9-B Corazon Street Saint Bernadette Heights Subdivision Barangay del Rosario City of San Fernando Pampanga Del Rosario, San Fernando",5.5,3.0,5.0,202.5,120.0,Del Rosario,San Fernando,Pampanga
"Concepcion, San Pablo",3.62,,,154.0,261.0,Concepcion,San Pablo City,Laguna
"San Miguel, Pasig",25.5,7.0,6.0,350.0,150.0,San Miguel,Pasig,Metro Manila
"Almanza Dos, Las Pinas",35.87,4.0,4.0,278.0,240.0,Almanza Dos,Las Piñas,Metro Manila
"Pilar, Las Pinas",16.5,4.0,4.0,195.0,280.0,Pilar,Las Piñas,Metro Manila
"San Roque, Rosario",5.25,,,250.0,250.0,San Roque,Rosario,Batangas
"Lots 1, 2 and 3 along existing Road Sitio Bagong Sikat Barangay Tabang Plaridel Tabang, Plaridel",8.0,3.0,4.0,344.0,1058.0,Tabang,Plaridel,Bulacan
"Pamplona Dos, Las Pinas",6.3,3.0,2.0,100.0,79.0,Pamplona Dos,Las Piñas,Metro Manila
"B.F. Homes Paranaque Metro Manila B.F. Homes, Paranaque",18.0,3.0,4.0,220.0,288.0,B. F. Homes,Parañaque City,Metro Manila
"B.F. Homes, Paranaque",23.0,4.0,3.0,200.0,221.0,B. F. Homes,Parañaque,Metro Manila
"Dely St Muntingdilaw, Antipolo",5.0,2.0,2.0,81.0,60.0,Muntingdilaw,Antipolo City,Rizal
"Pinagsanjan, Pagsanjan",3.52,,,160.0,156.0,Pinagsanjan,Pagsanjan,Laguna
"Biclatan, General Trias",8.46,4.0,2.0,167.0,154.0,Biclatan,General Trias,Cavite
"Merville, Paranaque",60.0,4.0,5.0,627.0,306.0,Merville,Parañaque,Metro Manila
"Lot I-14 (Block 16, Lot 14), Along Grenada Street, Camella Homes Phase 1 San Isidro, General Santos City",1.97,1.0,1.0,46.0,77.0,San Isidro (Lagao 2nd),General Santos City (Dadiangas),South Cotabato
"San Isidro, Paranaque",18.0,3.0,3.0,300.0,450.0,San Isidro,Parañaque,Metro Manila
"Inarawan, Antipolo",15.0,4.0,3.0,170.0,127.0,Inarawan,Antipolo,Rizal
"Tagaytay Nasugbu Hwy, 4213 Balayan, Philippines San Gregorio, Laurel",17.0,3.0,4.0,800.0,290.0,San Gregorio,Tagaytay City,Cavite
"Block 9, Lot 23, Along Road Lot 4, Carmel Village Phase 2B Barandal, Calamba",1.35,1.0,1.0,48.0,80.0,Barandal,Calamba,Laguna
"Cabid-An, Sorsogon Cabid-An, Sorsogon",6.14,3.0,2.0,66.0,88.0,Cabid-An,Sorsogon City,Sorsogon
"Alapan II-B, Imus",2.67,3.0,2.0,60.0,50.0,Alapan II-B,Imus,Cavite
"Daang Hari Road, Bacoor",11.06,4.0,4.0,131.0,141.0,,Bacoor,Cavite
"Molino-Paliparan Rd Molino IV, Bacoor",8.0,3.0,2.0,81.0,120.0,Molino IV,Bacoor,Cavite
"Inarawan, Antipolo",15.0,4.0,3.0,258.0,180.0,Inarawan,Antipolo,Rizal
"Mamatid, Cabuyao",1.19,,,72.25,81.0,Mamatid,Cabuyao City,Laguna
"Dona Pilar Sasa, Davao City Sasa, Davao",16.0,5.0,4.0,167.0,152.0,Buhangin,Davao City,Davao del Sur
"Ayala Alabang, Muntinlupa",213.0,5.0,5.0,800.0,660.0,New Alabang Village,Muntinlupa,Metro Manila
"Salu, Porac",0.87,1.0,1.0,32.0,62.0,Salu,Porac,Pampanga
"Poblacion Occidental, Consolacion",22.0,6.0,5.0,400.0,394.0,Poblacion Occidental,Consolacion,Cebu
"Brgy 3 Poblacion Alaminos Laguna Barangay III, Alaminos",6.27,3.0,2.0,77.0,140.0,Brgy 3 Poblacion,Alaminos,Laguna
"Kalubkob, Silang",5.78,3.0,3.0,108.0,117.0,Kalubkob,Silang,Cavite
"Lot 13 Block 17, Along road lot 22. Camella Lessandra A Jibao-An, Pavia",1.3,1.0,1.0,48.0,70.0,Jibao-An,Pavia,Iloilo
"Lot 17, Block 12, Apo St., Brgy. Mabini Homesite, Cabanatuan City, Nueva Ecija Mabini Homesite, Cabanatuan",1.41,1.0,,64.0,180.0,Mabini Homesite,Cabanatuan City,Nueva Ecija
"Dely St Muntingdilaw, Antipolo",7.26,3.0,2.0,93.0,155.0,Muntingdilaw,Antipolo City,Rizal
"Talon Dos, Las Pinas",15.8,4.0,3.0,175.0,115.25,Talon Dos,Las Piñas,Metro Manila
"Joyao-Joyao, Numancia",2.96,2.0,1.0,46.0,44.0,Joyao-joyao,Numancia,Aklan
"Joyao-Joyao, Numancia, Western Visayas, Philippines Joyao-Joyao, Numancia",1.97,1.0,1.0,22.0,44.0,Joyao-joyao,Numancia,Aklan
"Lagtang, Talisay, Central Visayas, Philippines Lagtang, Talisay",13.0,3.0,2.0,172.0,150.0,Lagtang,Talisay,Cebu
"Maharlika Hwy, 4418 Pili, Philippines Palestina, Pili",3.56,2.0,2.0,42.0,,Palestina,Pili,Camarines Sur
"Concepcion Uno, Marikina",6.5,5.0,3.0,300.0,380.0,Concepcion Uno,Marikina,Metro Manila
"Talon Uno, Las Pinas",15.0,4.0,4.0,220.0,111.0,Talon Uno,Las Piñas,Metro Manila
"Salu, Porac",1.23,2.0,1.0,39.0,107.0,Salu,Porac,Pampanga
"Bagong Nayon, Antipolo",3.4,1.0,,243.0,77.0,Bagong Nayon,Antipolo,Rizal
"Cupang, Antipolo",6.56,3.0,2.0,99.27,60.7,Cupang,Antipolo,Rizal
"Toril, Davao",19.5,4.0,4.0,330.0,550.0,Toril,Davao City,Davao del Sur
"Camella Homes, Cabid-An, Sorsogon, Bicol, Philippines Cabid-An, Sorsogon",4.34,2.0,1.0,46.0,66.0,Cabid-An,Sorsogon City,Sorsogon
"San Andres, Cainta",26.5,5.0,5.0,350.0,150.0,San Andres,Cainta,Rizal
"Ma-A, Davao",16.0,4.0,4.0,202.0,180.0,Ma-a,Davao City,Davao del Sur
"Timalan Balsahan, Naic",1.6,2.0,1.0,47.0,54.0,Timalan Balsahan,Naic,Cavite
"Langkaan I, Dasmarinas",2.07,2.0,1.0,44.5,58.5,Langkaan I,Dasmariñas,Cavite
"Along Molino Road Molino III, Bacoor",8.23,4.0,3.0,98.0,131.0,Molino III,Bacoor,Cavite
"Don Jose, Santa Rosa",18.0,5.0,4.0,304.0,200.0,Don Jose,City of Santa Rosa,Laguna
"Talisay, Calatagan",8.83,,,375.0,1768.0,,Calatagan,Batangas
"Duale, Limay",1.67,1.0,,80.0,62.0,Duale,Limay,Bataan
"Saimsim, Calamba",3.5,,,157.3,65.0,Saimsim,Calamba,Laguna
"Tunasan, Muntinlupa",13.0,3.0,3.0,140.0,240.0,Tunasan,Muntinlupa,Metro Manila
"Mayamot, Antipolo",13.0,4.0,3.0,144.0,120.0,Mayamot,Antipolo,Rizal
"Talon Dos, Las Pinas",15.0,5.0,4.0,240.0,122.0,Talon Dos,Las Piñas,Metro Manila
"Inarawan, Antipolo",50.0,4.0,5.0,495.0,521.0,Inarawan,Antipolo,Rizal
"Hoyo, Silang",6.55,4.0,2.0,116.4,176.0,Hoyo,Silang,Cavite
"San Andres, Cainta",26.5,5.0,5.0,350.0,150.0,San Andres,Cainta,Rizal
"Binicuil, Kabankalan",4.2,,,170.1,200.0,Binicuil,Kabankalan City,Negros Occidental
"Ayala Alabang, Muntinlupa",900.0,5.0,5.0,1080.0,2571.0,New Alabang Village,Muntinlupa,Metro Manila
"B.F. Homes, Paranaque",17.8,3.0,2.0,280.0,280.0,B. F. Homes,Parañaque,Metro Manila
"San Miguel, Pasig",25.0,6.0,6.0,380.0,150.0,San Miguel,Pasig,Metro Manila
"San Antonio, Paranaque, National Capital Region, Philippines Don Bosco, Paranaque",9.49,3.0,3.0,121.0,100.0,San Antonio,Parañaque City,Metro Manila
"Hugo Perez Rd Perez, Trece Martires",2.11,3.0,2.0,64.26,50.0,Perez (Lucbanan),Trece Martires,Cavite
"New Manila, Quezon City",65.0,5.0,5.0,488.0,167.0,Mariana,Quezon City,Metro Manila
"Sun Valley, Paranaque, National Capital Region, Philippines Sun Valley, Paranaque",9.2,4.0,3.0,118.7,66.0,Sun Valley,Parañaque,Metro Manila
"Penguin St., Zabarte Subd., Quezon City Kaligayahan, Quezon City",5.48,3.0,2.0,94.38,60.0,Novaliches,Quezon City,Metro Manila
"Langkaan I, Dasmarinas",3.2,3.0,2.0,110.0,150.0,Langkaan I,Dasmariñas,Cavite
"Dely St Muntingdilaw, Antipolo",5.32,2.0,2.0,88.0,60.0,Muntingdilaw,Antipolo City,Rizal
"Duale, Limay",1.67,1.0,,80.0,62.0,Duale,Limay,Bataan
"Taytay, Calabarzon, Philippines San Isidro, Taytay",10.4,6.0,5.0,300.0,139.0,San Isidro,Taytay,Rizal
"McKinley Hill, Taguig",208.0,5.0,6.0,642.0,288.0,Mckinley Hill,Taguig,Metro Manila
"Merville, Paranaque",78.0,4.0,4.0,300.0,705.0,Merville,Parañaque,Metro Manila
"Gulang-Gulang, Lucena",6.69,,,379.0,308.0,Gulang-gulang,Lucena City,Quezon
"Inarawan, Antipolo",68.0,7.0,7.0,884.0,523.0,Inarawan,Antipolo,Rizal
"Inchican, Silang",17.99,3.0,2.0,220.0,150.0,Inchican,Silang,Cavite
"Forbes Park, Makati, National Capital Region, Philippines Forbes Park, Makati",2500.0,5.0,7.0,2100.0,1525.0,Forbes Park,Makati City,Metro Manila
"Valle Verde 2, Pasig",165.0,4.0,4.0,,509.0,Valle Verde 2,Pasig,Metro Manila
"Taculing, Bacolod",2.66,,,90.0,96.0,Taculing,Bacolod,Negros Occidental
"Lumbia, Cagayan de Oro",,4.0,3.0,85.0,99.0,Lumbia,Cagayan De Oro City,Misamis Oriental
"Agus, Lapu-Lapu",9.0,4.0,5.0,156.0,150.0,Agus,Lapu-Lapu,Cebu
"Langgam, San Pedro",2.48,1.0,1.0,26.0,84.0,Langgam,San Pedro,Laguna
"Lot 74 G and F Wilson Street ( interior of Fulton Street ) Barangay Lahug Cebu City Cebu Lahug, Cebu",6.5,3.0,4.0,184.0,130.0,Lahug,Cebu City,Cebu
"Parang, Marikina",6.5,3.0,2.0,81.0,88.81,Parang,Marikina,Metro Manila
"Fairview, Quezon City",6.95,3.0,3.0,96.0,60.0,Fairview,Quezon City,Metro Manila
"Alabang, Muntinlupa",63.5,7.0,7.0,700.0,460.0,Alabang,Muntinlupa City,Metro Manila
"TALON DOS BF RESORT Talon Dos, Las Pinas",15.0,4.0,3.0,210.0,111.0,Talon Dos,Las Piñas,Metro Manila
"Bulihan, Malolos",3.81,2.0,2.0,52.0,96.0,Bulihan,Malolos,Bulacan
"B.F. Homes, Paranaque",45.0,4.0,4.0,350.0,280.0,B. F. Homes,Parañaque,Metro Manila
"Banaybanay, Padre Garcia",2.3,3.0,1.0,48.0,52.0,Banaybanay,Padre Garcia,Batangas
"Bakakeng North, Baguio",20.0,3.0,4.0,280.0,408.0,Bakakeng North,Baguio,Benguet
"Hibok-hibok, Block 20, Lot 12, Pulu Amsic Subdivision Amsic, Angeles",19.9,3.0,4.0,240.0,246.0,Amsic,Angeles,Pampanga
"St. Francis Homes XI, Binan Laguna Canlalay, Binan",9.0,5.0,3.0,280.0,279.0,Canlalay,Biñan,Laguna
"San Vicente, San Pablo",3.5,3.0,2.0,57.44,80.0,San Vicente,San Pablo City,Laguna
"Antipolo, Calabarzon, Philippines San Roque, Antipolo",6.5,3.0,3.0,130.72,60.0,San Roque,Antipolo,Rizal
"Pan-Philippine Hwy San Vicente, San Pablo",3.7,4.0,2.0,85.0,74.0,San Vicente,San Pablo City,Laguna
"San Antonio, Santo Tomas",7.35,,,229.66,288.0,San Antonio,Mexico,Pampanga
"Pan-Philippine Hwy San Vicente, San Pablo",2.6,3.0,2.0,54.7,50.0,San Vicente,San Pablo City,Laguna
"Panorama St, 1811 Marikina, Philippines Marikina Heights, Marikina",6.6,4.0,2.0,140.0,70.0,Marikina Heights,Marikina,Metro Manila
"Del Carmen, San Fernando",5.0,3.0,2.0,150.0,81.0,Del Carmen,San Fernando,Pampanga
"Damilag, Manolo Fortich",1.7,3.0,2.0,52.5,116.0,Damilag,Manolo Fortich,Bukidnon
"Lot 12, Block 8, Along unnamed subd. road, Tungkop, Minglanilla",3.2,1.0,1.0,124.0,124.0,Tungkop,Minglanilla,Cebu
"Barangay 2, Batangas City",5.73,1.0,,329.0,172.0,Barangay 2,Batangas City,Batangas
"Lot 15 Block 4, Along Road Lot 4, Camella Pine Grove Phase 2 Mandalagan, Bacolod",3.1,1.0,1.0,83.0,91.0,Mandalagan,Bacolod,Negros Occidental
"Mayamot, Antipolo",15.0,3.0,3.0,160.0,120.0,Mayamot,Antipolo,Rizal
"Calendola, San Pedro",5.5,1.0,1.0,26.0,60.0,Calendola,San Pedro,Laguna
"Lot 2, Block 23, Calle Cantabria, Camella Solamente, Brgy. Soro-Soro Karsada, Batangas City, Batangas Sorosoro Karsada, Batangas City",2.53,1.0,,67.62,88.0,Soro-Soro Karsada,Batangas City,Batangas
"Balsic, Hermosa",2.1,3.0,1.0,70.0,118.0,Balsic,Hermosa,Bataan
"Salu, Porac",1.79,2.0,1.0,44.0,107.0,Salu,Porac,Pampanga
"Olivarez Tagaytay San Jose, Tagaytay",14.9,5.0,7.0,350.0,264.0,Maitim 2nd East,Tagaytay City,Cavite
"Malainen Luma, Naic",1.82,2.0,1.0,38.0,84.0,Malainen Luma,Naic,Cavite
"Molino-Paliparan Rd Molino IV, Bacoor",3.7,2.0,1.0,42.4,72.0,Molino IV,Bacoor,Cavite
"Santan St Cupang, Antipolo",4.15,3.0,2.0,78.3,50.0,Cupang,Antipolo,Rizal
"Carsadang Bago, Imus, Calabarzon, Philippines Carsadang Bago I, Imus",3.2,3.0,3.0,94.0,50.0,Carsadang Bago I,Imus,Cavite
"Laslasong Sur, Santa Maria",4.76,,,225.0,1382.0,Laslasong Sur,Santa Maria,Ilocos Sur
"B.F. Homes, Paranaque",32.5,5.0,4.0,370.0,280.0,B. F. Homes,Parañaque,Metro Manila
"Tunasan, Muntinlupa",50.0,4.0,4.0,475.0,338.0,Tunasan,Muntinlupa,Metro Manila
"Diliman, Quezon City",13.0,3.0,3.0,180.0,60.0,Diliman,Quezon City,Metro Manila
"Lot 1, Block 21A, Costa Brava corner Girona Sts., Montefaro West Village, Phase 3, Brgy. Bucandala, Imus City, Cavite Alapan I-B, Imus",2.78,1.0,,69.0,129.0,Alapan I-B,Imus,Cavite
"Amsic, Angeles",12.8,4.0,4.0,128.0,150.0,Amsic,Angeles,Pampanga
"Silangan, San Mateo",14.0,3.0,3.0,240.0,152.0,Silangan,San Mateo,Rizal
"Salitran I, Dasmarinas",2.18,,,116.0,55.0,Salitran I,Dasmariñas,Cavite
"Sabutan, Silang",3.5,2.0,2.0,67.0,80.0,Sabutan,Silang,Cavite
"Nambalan, Santa Ignacia",0.36,,,64.0,334.0,Nambalan,Santa Ignacia,Tarlac
"Navarro, General Trias",1.82,,,63.8,50.0,Navarro,General Trias,Cavite
"B. F. Homes, Paranaque, National Capital Region, Philippines B.F. Homes, Paranaque",31.8,5.0,,470.0,165.0,B. F. Homes,Parañaque,Metro Manila
"De La Paz, Binan",3.95,,,337.7,289.0,De La Paz,Biñan,Laguna
"Congressional Avenue, Quezon City",10.9,3.0,1.0,140.0,80.0,,Quezon City,Metro Manila
"Salitran I, Dasmarinas",35.0,4.0,4.0,301.0,491.0,Salitran I,Dasmariñas,Cavite
